item_name,item_description,id
noteadhes4x6ruled,notesadhes4x6ruled,4841
toilet paper,toilet tissue,4842
fuel for equip 04s293,fuel for equip 04s293,4843
accident repair,accident damage,4844
fuel for equip 10r064,fuel for equip 10r064,4845
hammer clawwestward,hammer clawwestward4yr58,4846
socks,wool camp socks,4847
pultry seasoning,poultry seasoning,4848
gasket kit flange isolation#300 12,gasket kit flange isolation#300 12,4849
fireline lunches,fireline lunches,4850
bare equipment rental,contractor shall provide bare equipment rental of various types of equipment on an oncall as needed basis,4851
security,security,4852
360cireson service mgr essentials pack plus,service manager essentials pack plusmaintenancesupport,4853
baumgartens sealable id badge holder47840,baumgartens sealable id badge holder47840,4854
fuel for equip 17r044,fuel for equip 17r044,4855
workstation,workstation,4856
samsung black ink cartridge20 000 pages yield,samsung black ink cartridge20 000 pages yield,4857
preemployment drug testing,preemployment drug testing,4858
hired equipment,hired equipment to cover behind at salt creek cc,4859
gloves rubber flocklined blue 10xl,gloves rubber flocklined blue 10xl,4860
kyeboard system,kyeboard system,4861
plantronics voyager legend uc b235m,plantronics voyager legend uc b235m,4862
repair hpplotter printer,repair hp plotter printer,4863
microsoft sql server software license,microsoft sql server software license,4864
liquid supplements,liquid supplements,4865
slip base unit,slip base unit,4866
emergency plumbing,emergency plumbingwater main repairs and water line replacement,4867
heavyweight coated paper,hp universal heavyweight coated paper24 in x 100 ft,4868
hp color laserjet cp4525dn,printer,4869
coffee,coffeeinstant regular,4870
door closure,door closure,4871
unitrol mic,unitrol mic,4872
particulate monitoring,additional work necessary,4873
8oz white foam cup,clin 1048oz white foam cup,4874
patient pajamas,patient pajamas,4875
real soot generator,palas dnp 3000 w touch screen included,4876
amendment # 3 to add funds of 2 50000,amendment #3 to add funds of 2 50000total contract amount is now15 00000 orig small parcel delivery services ,4877
door stop,door stop,4878
pia chairs,pia chairs,4879
medical waste containers,medical waste containers,4880
tab dividers,tab dividers,4881
full time firefighters,annual subscription,4882
lunch #7 meat cheese hoagie,lunch # 7 meat cheese hoagie,4883
cat 3560x ios universal wweb based dev mgr,cat 3560x ios universal wweb based dev mgr,4884
antispin differential,antispin differential,4885
smartpen,livescribe 3smartpen,4886
electronic library service,electronic library service to legalpublic records or business news databases,4887
potatoesflake,potaotesflake,4888
hashcorned beefcanned,hashcorned beefcanned,4889
chemicals,chemicals,4890
flooring,flooring,4891
oximetermodel 30,oximetermodel 30,4892
ink cartridges,ink cartridges,4893
emergency rental of lighting on a going fire,emergency rental of lighting supporting base camp operations on the going fire cahuu 005790 the arrow complex,4894
blood pressure monitors,blood pressure monitors,4895
fuel for equip 14r280,fuel for equip 14r280,4896
pressure pot,pressure pot,4897
fish food,extruded 450 5 32 floating fish food,4898
hp compaq 8300 elite,hp compaq 8300 elite,4899
clipbinderlarge,clipbinderlarge,4900
unleaded gasoline,unleade gasoline for state facility usage in vehicles and equipment,4901
fuel for equip 05s024,fuel for equip 05s024,4902
joslyn clark grounding contactors,joslyn clark grounding contactors,4903
asa 5545x w sw 8ge data 1ge mgmt,firewall asa 5545x,4904
assesment of database conversion,assesmernt,4905
pantray rack open stainless,pantray rack open stainless,4906
it consulting services for ,to provide program and portfolio management for the cdi menumodernization projectcmmp ,4907
upfitters switchesoption add,uptitters switches,4908
temp relief neuropsychologist services,temp relief neuropsychologist services,4909
diffsafe blood dispenser,diffsafe blood dispenser,4910
meat,meatdairyproduce,4911
pilotg2 mechanical pencil07 mmclear barrel w black,pilotg2 mechanical pencil07mmclear barrel w black accents,4912
dell pc server,dell pc server,4913
student assistants,student assistants,4914
rent and security ia,reimbursement for annual building rent and security expenses incurred by chffa,4915
pad scrub 20in blue,pad scrub 20in blue,4916
software licenses maintenance support,cherwell service managementlicensed software annual maintenance support,4917
casio ravine 2 no camera,casio ravine 2 no camera,4918
rack,rack,4919
0885212 a08,amendment a08 adjusts funding intergovernmental transfer,4920
lab equipment,klein 56119 std combo,4921
hp red thermal ink cartridge,hp red thermal ink cartridgeitem number hewc6602r,4922
graham crackers,graham crackers,4923
amd disabled,amd,4924
sharpiepermanent marker53mm chisel tipblack12 pack,sharpiepermanent marker53mm chisel tipblack12 pack,4925
vmwware server licensessupport, vpstdsvptlssfus vmware vcenter protect standard for server termlicense + production support subscription for 1 year,4926
wall mounted feminine hygien disposal receptacle,wall mounted feminine hygien disposal receptacle,4927
labor,labor to installterminatelabeland certify,4928
training,team improvement training,4929
1 year maintenance renewal of northern storage suites software,northern storage suitebase license12 months support andmaintenance from 5 14 13 to 5 13 14,4930
c9730a toner,operational needs,4931
expert witness,expert in the field of biomechanics and human movement analysis,4932
copier maintenance cat 7 12 13 fy,copier maintenance for cat 7 copier for 2012 2013 fiscal year,4933
fuel for equip 10r142,fuel for equip 10r142,4934
glucose control solution,glucose control solution,4935
switchboard,switchboard,4936
towels paper multifoldgp23304,towels paper multifoldgp23304,4937
25 year service awardplaquered pianowood,25 year service awardplaquered pianowood,4938
panpa5020wfha2 wildfire subscription,panpa5020wfha2 wildfire subscription,4939
almondsnatural whole single serve,almondsnatural whole single serving,4940
inside delivery,inside delivery,4941
impres single unit charger,portable radio battery chargersingle unit,4942
ssd card,sandisk extreme ii internal ssd480gb ,4943
equipmnet maintence,equipment maintenance services,4944
barrier tips,art barrier tips200 ul,4945
paste spackling qt,paste spackling qt,4946
backup batteries,cd battery,4947
exterior painting,exterior painting of buildings at the california conservation corpsorcccplacer center the work for the exterior paint project will include all preparationpaintingfinishing workclean up and related items necessary tocomplete work described in these specificationsthe paintspecified is lead barrier compoundlbcby fiberlock technologiesfiberlock is designed to encapsulate lead based paint thatis found on some buildings,4948
watchmens25 yearsgold8,watch,4949
filter 5 micron carbon block,filter 5 micron carbon block,4950
workforce devel,books,4951
postage meter,postage meter,4952
tax,tax,4953
tire,tire,4954
janitorial services,contractor shall provide janitorial services for thebureau offorensic services fresno labin fresno california,4955
table bifold folding,folding table bifold 60wx30dx29h,4956
lombardinever quit,posters,4957
plug arktite 60a 3w 4p crh #apj6485,plug arktite 60a 3w 4p crh #apj6485,4958
post office box service feepo box 989067,post office box service feepo box 989067sdu payments ,4959
emergency repair service,emergency repair service,4960
electronic library access,electronic library access for investigations,4961
helibase,helibase for going fire cabtu 005648,4962
salt pellets for boiler system,salt pellets for boiler system,4963
arcgis spatial analyst for desktop advanced single use primary maintenance,maintenance,4964
fuel for equip 10r068,fuel for equip 10r068,4965
outreach,calfresh outreachstate plan,4966
tyvek self seal catalog white envelopes 14#22050 m,tyvek self seal catalog white envelopes 14#22050 m,4967
dozer,dozer for on going fire ,4968
efiling and eservice of documents,contractor will provide dlse legal units with efiling and eservice ofdocuments at the san francisco superior court,4969
water tender,water tender for use on going fire,4970
replace uninterruptible power supply,replace uninterruptible power supply system in alameda and contra costa counties,4971
vehicle repair to state fire engine,transmission and clutch repair to state emergency vehicle1999internation lic#1062482 engine 1641,4972
container,container4 ozplastichot cold,4973
copier maintenance renewal,copier maintenance renewal,4974
entertainment at 2015 imaginology,provide entertainment as dragon knights stilt theater fromapril 24april 26 for the 2015 imaginology,4975
2port 10 100 routedport hwic,2port 10 100 routedport hwic,4976
bread,x,4977
centera install services,centera install services,4978
white gravy mix,white gravy mix,4979
long block,longblock,4980
yellow inkjet cartridge,oem yellow inkjet cartridge,4981
cm services for mcsp infill level ii dorm project,cm services for the three level ii dorm facilities project at mule creekstate prison,4982
kleenex,tolit paper,4983
arcgis 3d analyst for desktop concurrent primary,arcgis 3d analyst for desktop concurrent primary,4984
pocket directories,pocket directories of the california legislature,4985
dozer,dozers used for bully incident cashu006248,4986
cooler pad ap573a 18x48,cooler pad ap573a 18x48,4987
8gb ddr3 1600 1 cpu ram,ram,4988
expose ii 256 disinfectant cleanercitrus15 gallon bottle,expose ii 256 disinfectant cleanercitrus15 gallon bottle,4989
hvac replacement,hvac replacement,4990
software,bluecoat sg30010 proxy edition,4991
surge protector 120v15amp,surge protector,4992
ballistic shield plate,shield plate,4993
coffeecaffeniated,coffeecaffeniated,4994
samsung cyan toner cartridge7 000 pages yield,samsung cyan toner cartridge7 000 yield,4995
protective cover and permanent magnet,protective cover and permanent magnet,4996
unleaded gasoline,diesel fuel,4997
fuel for equip 02s005,fuel for equip 02s005,4998
am 7118 fortuna blvdfortunahumboldt countyca,am 7quarterly groundwater monitoring and reportingdepartment of forestry and fire protectionhumboldtdel norte unit headquarters118 fortuna boulevardfortunahumboldt countycalifornia,4999
pens,bu3 retractable ballpoint pen10mmblue item# bicbu311be,5000
memory,4gb memory,5001
battery alkaline aa cell,battery alkaline aa cell,5002
key ring,key ring,5003
plant ops supplies,cable stripperknee bootsbeverage cooleroil pump,5004
carrier for vest,carrier for vest,5005
cresent roll,cresent rolls,5006
science advisory,science advisory,5007
coffee instant regular pia,cofee instant regular pia,5008
lable 11 3 x 4white 1400 bx l400133,lable 11 3 x 4white 1400 bx l400133,5009
cubicle design,cubicle design,5010
five5years of full copier maintenance service,five5years of full copier maintenance service,5011
pia 14 15 son bluestrousersshirts,pia 14 15 son bluestrousersshirts,5012
maintenance for sharp mxm623nfour year service,maintenance for sharp mxm623nfour year service,5013
training courses,business 1financial accounting 1 college level courses to be taughtto boe employess,5014
security guard services,security guard services for rmgsoc building in san francisco,5015
mini refrigerator,mini refrigerator,5016
trash can liners,trash can liners,5017
independent dispute review process services,the contractor is to provide independent dispute review services asmandated by executive order s1306,5018
oce reprodesk select softwaremaint,oce reprodesk select softwaremaint,5019
coil condenser,coil condenser,5020
tag cover paper,tag cover paper,5021
headcover,3mversaflo headcover,5022
drawers,ess lat 36 x 64 drawerspull,5023
bcplat1 commvault business critical,bcplat1 commvault business critical,5024
outpatient sex offender treatment,this agreement is to provide treatment for sexoffenders the california department of corrections andrehabilitationcdcr division of adult parole operations dapois implementing a containment model programset,5025
